23-05-2021 2.29.01 PM	This log contains information about the import schema operation into project 'ElibDatabase' on computer 'POORAV' by user 'goura'.
23-05-2021 2.29.02 PM	Import of database schema has started.
23-05-2021 2.29.02 PM	Gathering database credentials
23-05-2021 2.29.02 PM	Gathering database options
23-05-2021 2.29.03 PM	Gathering generic database scoped configuration option
23-05-2021 2.29.03 PM	Gathering users
23-05-2021 2.29.03 PM	Gathering roles
23-05-2021 2.29.03 PM	Gathering application roles
23-05-2021 2.29.03 PM	Gathering role memberships
23-05-2021 2.29.03 PM	Gathering filegroups
23-05-2021 2.29.03 PM	Gathering full-text catalogs
23-05-2021 2.29.03 PM	Gathering assemblies
23-05-2021 2.29.03 PM	Gathering certificates
23-05-2021 2.29.03 PM	Gathering asymmetric keys
23-05-2021 2.29.03 PM	Gathering symmetric keys
23-05-2021 2.29.03 PM	Gathering encrypted symmetric keys
23-05-2021 2.29.03 PM	Gathering schemas
23-05-2021 2.29.03 PM	Gathering XML schema collections
23-05-2021 2.29.03 PM	Gathering user-defined data types
23-05-2021 2.29.03 PM	Gathering user-defined types
23-05-2021 2.29.03 PM	Gathering table types
23-05-2021 2.29.03 PM	Gathering unique keys for table types
23-05-2021 2.29.03 PM	Gathering primary keys for table types
23-05-2021 2.29.03 PM	Gathering indexes for table types
23-05-2021 2.29.03 PM	Gathering check constraints for table types
23-05-2021 2.29.03 PM	Gathering default constraints for table types
23-05-2021 2.29.03 PM	Gathering partition functions
23-05-2021 2.29.03 PM	Gathering partition schemes
23-05-2021 2.29.03 PM	Gathering functions
23-05-2021 2.29.03 PM	Gathering encrypted functions
23-05-2021 2.29.03 PM	Gathering aggregates
23-05-2021 2.29.03 PM	Gathering procedures
23-05-2021 2.29.03 PM	Gathering encrypted procedures
23-05-2021 2.29.03 PM	Gathering tables
23-05-2021 2.29.03 PM	Gathering primary keys
23-05-2021 2.29.03 PM	Gathering unique constraints
23-05-2021 2.29.03 PM	Gathering foreign keys
23-05-2021 2.29.03 PM	Gathering default constraints
23-05-2021 2.29.03 PM	Gathering check constraints
23-05-2021 2.29.03 PM	Gathering views
23-05-2021 2.29.03 PM	Gathering encrypted views
23-05-2021 2.29.03 PM	Gathering indexes
23-05-2021 2.29.03 PM	Gathering statistics
23-05-2021 2.29.03 PM	Gathering full-text index stoplists
23-05-2021 2.29.03 PM	Gathering search property lists
23-05-2021 2.29.03 PM	Gathering search properties
23-05-2021 2.29.03 PM	Gathering full-text indexes
23-05-2021 2.29.03 PM	Gathering column store indexes
23-05-2021 2.29.03 PM	Gathering spatial indexes
23-05-2021 2.29.03 PM	Gathering XML indexes
23-05-2021 2.29.03 PM	Gathering Selective XML indexes
23-05-2021 2.29.03 PM	Gathering encrypted triggers
23-05-2021 2.29.03 PM	Gathering triggers
23-05-2021 2.29.03 PM	Gathering encrypted and clr ddl triggers
23-05-2021 2.29.03 PM	Gathering ddl triggers
23-05-2021 2.29.03 PM	Creating edge constraints
23-05-2021 2.29.03 PM	Gathering synonyms
23-05-2021 2.29.03 PM	Gathering defaults
23-05-2021 2.29.03 PM	Gathering data constraint uddt bindings
23-05-2021 2.29.03 PM	Gathering rules
23-05-2021 2.29.03 PM	Gathering data constraint uddt bindings
23-05-2021 2.29.03 PM	Gathering message types
23-05-2021 2.29.03 PM	Gathering queues
23-05-2021 2.29.03 PM	Gathering contracts
23-05-2021 2.29.03 PM	Gathering services
23-05-2021 2.29.03 PM	Gathering event notifications
23-05-2021 2.29.03 PM	Gathering remote service bindings
23-05-2021 2.29.03 PM	Gathering broker priorities
23-05-2021 2.29.03 PM	Gathering signatures
23-05-2021 2.29.03 PM	Gathering data compression options
23-05-2021 2.29.03 PM	Gathering sequence types
23-05-2021 2.29.03 PM	Gathering security policies
23-05-2021 2.29.03 PM	Gather column encryption keys
23-05-2021 2.29.03 PM	Gathering column master keys
23-05-2021 2.29.03 PM	Gathering external data sources
23-05-2021 2.29.03 PM	Gathering external file formats
23-05-2021 2.29.03 PM	Gathering external tables
23-05-2021 2.29.03 PM	Gathering extended properties
23-05-2021 2.29.03 PM	Gathering credentials
23-05-2021 2.29.03 PM	Gathering logins
23-05-2021 2.29.03 PM	Gathering server audits
23-05-2021 2.29.03 PM	Scanning project for duplicate elements
23-05-2021 2.29.03 PM	Finished duplicate element processing
23-05-2021 2.29.04 PM	Finished importing database.
23-05-2021 2.29.04 PM	A summary of the import was saved to the following location: C:\Users\goura\source\repos\ElibDatabase\ElibDatabase\Import Schema Logs\ElibDatabase_20210523085901.log
23-05-2021 2.29.04 PM	Click Finish to continue...
